nama_toko,lokasi_seller,url_toko,rating_toko,jumlah_produk,kategori_dijual,contoh_produk
Access Go,Kab. Gresik,https://www.lazada.co.id/access-go/?type=brand,-,1,Lainnya,"Drone E88Pro 4K Ultrahd Kamera Lipat untuk Pemula | - Kamera 4K | - Berat 112g | - Baterai 1800mAh | - Remote Drone | - Kasing Keras | - Pengemasan Keras | - Cocok untuk Pemula
Rp149.000 -52%"
A W M,Kab. Gresik,https://www.lazada.co.id/shop/mp0o0xlj/?itemId=18884332972&channelSource=pdp,-,1,Hobi & Koleksi,"Tablet gaming berperforma tinggi RAM 16GB + ROM 1TB Layar pelindung mata resolusi tinggi Tablet 11 inci Jika beruntung banyak hadia Iainnya hadia utama pin lepas kartu give away
Rp28.000 -38%"
ABC,Kab. Gresik,https://www.lazada.co.id/abc-brand/?type=brand,-,1,Lainnya,"Baterai ABC Alkaline AA isi 6 pcs 1.5V
Rp29.500"
Bridgestone,Kab. Gresik,https://www.lazada.co.id/bridgestone/?type=brand,-,1,Lainnya,"Ban Bridgestone New Techno 185/70 R14 ban Avanza Xenia
Rp613.547 -26%"
Bolt,Kab. Gresik,https://www.lazada.co.id/lazada6900019_bolt-127198021/?type=brand,-,1,Lainnya,"BOLT Makanan KUCING Paket 2 Pack Bukan 2KG
Rp42.500 -39%"
Bintang Indonesia,Kab. Gresik,https://www.lazada.co.id/bintang-indonesia-238163/?type=brand,-,1,Lainnya,"Paket 6 Lembar Poster Edukasi Anak, Hijaiyah/huruf lepas/Angka/Buah/Sayur/Hewan
Rp12.645 -11%"
Barakat,Kab. Gresik,https://www.lazada.co.id/lazada5566004360_barakat-126288235/?type=brand,-,1,Rumah Tangga,"Barakat Pasta Gigi Siwak & Greentea Tube 190gr
Rp8.600"
Azzura,Kab. Gresik,https://www.lazada.co.id/azzura/?type=brand,-,1,Lainnya,"[Paket isi 2] AZZURA Loose Powder Natural 30gr
Rp41.500"
BERLIN OTOMOTIF,Kab. Gresik,https://www.lazada.co.id/shop/berlin-otomotif/?itemId=7967290738&channelSource=pdp,-,1,Otomotif,"AHM SPX2 Oli Honda Matic Fully Synthetic 10W-30 3x800ml
Rp119.500 -25%"
Apple,Kab. Gresik,https://www.lazada.co.id/lazada6916025_apple-127197227/?type=brand,-,1,Lainnya,"Apple iPhone 17 Pro Max
Rp24.999.000"
Animate,Kab. Gresik,https://www.lazada.co.id/animate_1/?type=brand,-,1,Lainnya,"Animate 5x Active Whitening 5in1 Set 5pcs
Rp94.000"
Azarine,Kab. Gresik,https://www.lazada.co.id/azarine-spa-cosmetics/?type=brand,-,1,Kecantikan,"[Triple Pack] Azarine Calm My Acne Sunscreen Moisturiser SPF35 PA+++ [3x40ml]
Rp103.000"
