Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan
Kantor Bupati Gresik,4.3,116,Titik Ernawati,5,2026-06-27T16:32:43.371Z,"Gedung yang megah bersih dan luas . Pelayanan bagus.  Parkiran luas, ada lapangan yang luas. Ada tenaga keamanan dari pol PP"
Kantor Bupati Gresik,4.3,116,timbangandigital surabaya,5,2026-06-25T21:51:39.621Z,
Kantor Bupati Gresik,4.3,116,umi masturoh,5,2026-06-13T17:09:10.662Z,Luar biasa acara ini dan para peserta sangat antusias mengikuti program ini dan siap untuk agenda berikutnya sesuai amanah yang diiemvan
Kantor Bupati Gresik,4.3,116,SAIFUNG ARIS,5,2026-06-08T08:37:56.993Z,
Kantor Bupati Gresik,4.3,116,Gb Gb1,1,2026-05-24T23:22:11.719Z,"Perhatikan jalan sebelah, jalan tidak rata tanpa perbaikan"
Kantor Bupati Gresik,4.3,116,YAYAN- Yani_Hatmono,5,2026-05-15T11:23:55.392Z,Iki ngono kantor bupati e Gresik
Kantor Bupati Gresik,4.3,116,arafahzahra salsabila,1,2026-04-30T07:59:35.630Z,"Parkir ypr di jln dr.wahidin tolong dibenahin dong pak, sebelum dirapihkan kpk"
Kantor Bupati Gresik,4.3,116,Arfan Santoso,5,2026-04-19T22:20:28.419Z,
Kantor Bupati Gresik,4.3,116,Indra Fredy,1,2026-04-05T08:43:41.503Z,"PDAM banyumu gak masok, matekan"
Kantor Bupati Gresik,4.3,116,Sujiran Ssos,5,2026-04-01T06:29:34.374Z,Tempat olah raga pagi hari sejuk dan banyak pepohonan dan tempat pelayanan masyarakat
Kantor Bupati Gresik,4.3,116,Gemilang Citra Perdana,5,2026-02-24T04:00:56.714Z,
Kantor Bupati Gresik,4.3,116,Agung Sutikno,5,2026-01-24T06:13:18.496Z,
Kantor Bupati Gresik,4.3,116,Azka Sujimaha putra,5,2026-01-05T11:36:00.363Z,
Kantor Bupati Gresik,4.3,116,Baswara Aji,4,2025-09-17T11:47:00.549Z,
Kantor Bupati Gresik,4.3,116,Rochimah -,5,2025-08-27T07:08:54.043Z,Tempat berkunjung jika ada urusan dinas dan upacara
Kantor Bupati Gresik,4.3,116,Endang Susilowati,5,2025-07-16T10:46:49.221Z,
Kantor Bupati Gresik,4.3,116,asri anggun,5,2022-07-19T10:26:40.847Z,"Suasana asri dan hijau. Halaman luas. Disediakan juga akses untuk pengguna kursi roda. Di dalam komplek kantor bupati ada beberapa dinas lain seperti dinas kesehatan, dinas pertanian, dinas koperasi, bahkan ada MPP (mal pelayanan publik) dan bank jatim"
Kantor Bupati Gresik,4.3,116,Diyya Vlog,1,2022-07-07T06:01:47.508Z,Tolong kalau memang bayar parkir ditulisin aja bayar. Jangan ditulis gratis pakai cek STNK. Tulisan dan kenyataan tidak sesuai. Mending dilepas aja tulisan gratisnya. Bukan masalah nominalnya. Masalahnya ngeluarin sepeda gak dibantu. Tukang parkir cuma duduk doang. Ada tulisan cek STNK juga nggak dicek. Mohon pemkab untuk evaluasi
Kantor Bupati Gresik,4.3,116,gilang budiraharja,5,2022-07-06T09:54:25.314Z,Tempatnya Bupati dan seluruh jajaran OPD bekerja..
Kantor Bupati Gresik,4.3,116,Ikhsan Rosyid,5,2022-06-21T00:36:35.827Z,
Kantor Bupati Gresik,4.3,116,Herawan Eka Kusuma,5,2022-06-06T01:21:47.356Z,
Kantor Bupati Gresik,4.3,116,Sulhan Edan,5,2022-04-23T00:52:17.231Z,"Saya minta tolong buat walikota Gersik, sby ,sdoarjo, bagi warga jw timur rakyat kecil & pengusaha sembako sekarang di persulit pengecer pertalek padahal di pom masih ada se andainya di pom gak ada gak jadi masalah"
Kantor Bupati Gresik,4.3,116,NurulSaja,5,2022-04-06T09:23:33.046Z,Kantor bupati Gresik dan beberapa dinas
