shortcode,link_postingan,teks_asli,teks_bersih,sentimen,skor,topik
DOhVWIfE1qf,https://www.instagram.com/p/DOhVWIfE1qf/,sulton_firdaus,sulton_firdaus,netral,0.962,umum
DOhVWIfE1qf,https://www.instagram.com/p/DOhVWIfE1qf/,nonanontihanan,nonanontihanan,positif,0.551,umum
DOhVWIfE1qf,https://www.instagram.com/p/DOhVWIfE1qf/,sirtuz,sirtuz,positif,0.865,umum
DOhVWIfE1qf,https://www.instagram.com/p/DOhVWIfE1qf/,beenue07,beenue07,netral,0.504,umum
DOhVWIfE1qf,https://www.instagram.com/p/DOhVWIfE1qf/,jinceret,jinceret,negatif,0.948,umum
DOhVWIfE1qf,https://www.instagram.com/p/DOhVWIfE1qf/,uppyk_bening,uppyk_bening,positif,0.93,umum
DOhVWIfE1qf,https://www.instagram.com/p/DOhVWIfE1qf/,hafidalvino6,hafidalvino6,netral,0.761,umum
DaaTj0cvb5N,https://www.instagram.com/p/DaaTj0cvb5N/,satlantasresgresik,satlantasresgresik,netral,0.997,umum
DaaTj0cvb5N,https://www.instagram.com/p/DaaTj0cvb5N/,polresgresik_official,polresgresik_official,netral,0.996,umum
DaaTj0cvb5N,https://www.instagram.com/p/DaaTj0cvb5N/,prastio385,prastio385,netral,0.892,umum
DaaTj0cvb5N,https://www.instagram.com/p/DaaTj0cvb5N/,imam_alel1112,imam_alel1112,netral,0.995,umum
DaaTj0cvb5N,https://www.instagram.com/p/DaaTj0cvb5N/,herusumarsono3,herusumarsono3,netral,0.951,umum
DaaTj0cvb5N,https://www.instagram.com/p/DaaTj0cvb5N/,ningsih220887,ningsih220887,netral,0.982,umum
DaaTj0cvb5N,https://www.instagram.com/p/DaaTj0cvb5N/,nusantaraexpress.id,nusantaraexpressid,netral,0.888,umum
DaaTj0cvb5N,https://www.instagram.com/p/DaaTj0cvb5N/,eko.wulandari.33,ekowulandari33,netral,0.784,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,bugurusayanggggg,bugurusayanggggg,positif,0.679,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,syaifulromadlon29,syaifulromadlon29,netral,0.984,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,mahaputra944,mahaputra944,netral,0.848,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,kajirifki_,kajirifki_,netral,0.818,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,w_bajol,w_bajol,netral,0.951,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,ilmawan_firdausi,ilmawan_firdausi,netral,0.977,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,muyatno.m,muyatnom,positif,0.432,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,wisnuzibanie,wisnuzibanie,netral,0.773,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,antokwijaya54,antokwijaya54,netral,0.853,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,ikanbuntal_37,ikanbuntal_37,netral,0.971,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,alimfauzi_97,alimfauzi_97,netral,0.894,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,nah.gtu,nahgtu,negatif,0.858,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,yunusafandi39,yunusafandi39,netral,0.668,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,ardjunalanangingjagad,ardjunalanangingjagad,positif,0.627,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,ahmszi,ahmszi,positif,0.515,umum
DZwEVWLTwy7,https://www.instagram.com/p/DZwEVWLTwy7/,khoir_rafif,khoir_rafif,netral,0.971,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,taaruf.uk,taarufuk,positif,0.891,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,taaruf.iin,taarufiin,positif,0.847,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,syauqi_ilm,syauqi_ilm,netral,0.905,umum
DaIfEf8FHkx,https://www.instagram.com/p/DaIfEf8FHkx/,dedypengenbaik,dedypengenbaik,netral,0.591,umum
